gameId,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueTotalGold,blueTotalExperience,blueWins
63,1,2,3,4,0,0,17409,17256,0
64,1,8,3,11,1,1,18274,18491,1
65,0,5,6,9,0,0,17409,17256,0
66,1,9,4,9,1,1,18274,18201,1
67,0,7,5,7,1,1,19558,18201,1
68,1,5,11,5,0,0,18513,18201,1
69,1,3,4,3,0,0,17409,17256,0
70,1,6,3,7,0,0,14536,17863,0
71,0,4,5,5,0,0,14536,17256,1
72,1,6,5,7,2,1,19558,18201,0
73,1,7,4,11,1,1,18513,18201,1
74,0,5,10,7,0,0,20619,17256,0
75,1,4,9,3,0,0,16961,19483,1
76,1,7,10,7,1,1,18513,18021,1
77,1,7,6,6,1,0,19558,18021,0
78,0,7,10,5,0,0,14536,17256,0
79,0,3,6,4,0,0,17409,17256,0
80,0,11,6,13,2,1,18274,18472,0
81,1,4,5,4,0,0,17409,17256,0
82,1,12,8,5,1,1,18274,18491,1
83,1,3,2,3,0,0,16961,19483,1
84,1,4,2,3,1,1,18274,18201,0
85,1,8,5,8,0,0,16961,18472,1
86,1,11,8,11,0,0,16961,18201,0
87,0,10,8,8,1,1,18274,18472,1
88,1,3,6,2,0,0,14536,17256,1
89,0,1,5,2,0,0,17409,17256,0
90,0,3,6,5,0,0,17409,19730,0
91,0,5,10,5,1,0,14536,17256,0
92,1,4,5,9,0,0,14536,17119,0
93,0,6,9,1,1,1,17381,17173,1
94,0,7,6,10,2,1,18274,18472,1
95,0,3,6,5,0,0,14536,17173,1
96,0,5,6,7,0,0,17409,17256,0
97,0,8,9,8,0,0,17409,17256,0
99,0,7,5,9,0,0,16961,20004,1
100,0,6,10,8,0,0,17409,17256,0
101,1,7,3,6,0,0,14536,17119,0
102,1,11,4,5,1,1,18513,18021,0
104,0,10,6,0,0,0,13475,18472,1
105,1,9,10,7,0,0,16961,18201,1
106,0,0,10,0,0,0,17409,17256,0
107,1,7,3,11,0,0,16961,18201,1
108,1,10,6,5,1,1,18513,18021,1
109,1,6,3,5,2,1,14536,17256,0
110,1,9,2,5,1,1,19558,18201,1
111,1,4,8,5,0,0,17409,17256,0
112,0,7,10,7,1,1,18274,18491,1
113,0,3,11,4,0,0,17409,17256,0
114,0,6,4,7,0,0,16961,18201,1
115,0,4,6,2,0,0,17409,17256,0
116,1,4,5,5,0,0,14536,17256,1
117,0,1,4,3,1,1,18117,18472,1
118,0,6,6,3,0,0,17409,19730,0
120,1,9,7,8,0,0,17381,17256,0
123,0,4,9,2,0,0,14536,17256,0
124,1,9,3,8,0,0,14536,17256,1
127,1,10,5,7,1,1,13519,18201,1
128,0,6,4,6,1,0,20619,17256,0
129,0,2,6,3,0,0,17409,17256,0
130,0,6,8,3,1,1,18117,19797,0
131,0,8,6,9,1,0,16544,18201,0
132,1,4,4,2,1,0,19558,19483,1
135,0,5,6,7,0,0,16961,18201,0
136,1,7,3,9,1,1,19558,18201,1
137,0,8,5,7,1,1,13475,18986,1
138,0,7,6,8,0,0,13475,18201,0
139,1,7,6,6,1,1,19558,18021,1
141,1,6,5,6,0,0,14536,17863,0
142,1,5,4,6,1,0,19558,18021,1
145,0,7,6,5,0,0,17409,17256,0
148,0,7,9,6,0,0,14536,19922,0
149,0,3,6,3,0,0,17409,17256,0
151,0,11,7,12,0,0,18117,18472,1
152,0,2,4,5,1,0,17409,17256,0
153,0,3,6,2,0,0,17409,17256,0
155,1,2,4,0,0,0,17409,17256,0
156,1,7,4,6,2,1,18274,18021,1
157,1,4,6,2,0,0,17409,17256,0
160,0,4,6,4,0,0,14536,19730,1
161,1,4,4,6,0,0,14536,17863,0
162,0,6,10,8,0,0,17409,17256,0
163,0,9,3,11,1,1,18274,18472,1
164,0,5,3,6,0,0,16544,18201,1
165,1,5,14,5,1,0,14536,19483,0
166,1,3,5,3,1,0,14536,17256,0
168,0,4,5,4,1,1,14536,19730,0
169,0,9,7,8,0,0,18117,18472,1
171,0,4,10,4,0,0,17409,17256,0
172,0,6,5,5,0,0,17409,17256,0
173,1,6,5,5,1,1,16544,18201,1
175,1,5,6,6,0,0,16961,18201,1
177,0,8,5,11,1,1,18117,18472,0
178,0,8,6,7,0,0,13475,18201,1
179,1,4,6,3,0,0,14536,17256,0
180,1,8,6,8,1,1,18274,18491,1
182,0,3,13,1,0,0,17409,17256,0
183,1,11,1,13,1,1,18274,18491,0
184,0,9,3,8,1,0,18117,19797,1
186,1,5,3,7,0,0,16544,17245,1
191,1,5,3,5,1,1,18513,18201,1
192,0,5,9,7,0,0,20619,17119,0
193,0,7,9,7,1,0,19558,18201,1
194,1,6,8,6,0,0,17409,17256,0
195,1,5,4,4,0,0,17409,17256,0
197,0,9,10,13,0,0,16961,18472,1
198,0,6,6,2,0,0,17409,17256,0
199,0,5,6,5,0,0,14536,18472,1
200,0,3,4,5,0,0,17409,17256,0
202,0,5,6,6,1,0,14536,17119,0
203,1,3,4,3,1,1,17409,17256,0
204,0,5,9,7,1,1,18274,18472,0
205,1,11,6,6,1,0,13519,18021,1
206,0,7,6,6,1,1,18117,18201,0
207,0,3,11,3,0,0,17409,17256,0
208,0,3,10,5,0,0,17409,17256,0
209,0,3,10,1,0,0,17409,17256,0
210,1,5,3,6,1,1,13519,18021,1
211,0,4,4,2,0,0,20038,17256,1
212,1,6,4,5,0,0,17409,17256,0
213,1,7,5,8,1,0,19558,18201,0
214,0,6,5,4,0,0,17409,17256,0
215,0,5,4,5,2,1,16961,19483,1
216,0,5,5,6,0,0,17409,17256,0
217,1,4,2,6,1,0,13519,18021,1
218,1,5,5,5,1,1,16544,19483,1
219,1,11,4,11,1,1,13519,18021,1
222,1,4,4,11,2,1,13519,18201,1
223,0,5,9,3,2,1,17381,17256,0
225,0,3,6,4,0,0,17409,17256,0
227,0,5,5,4,0,0,17409,17256,0
228,1,7,4,7,0,0,16544,17119,0
229,1,6,3,5,1,1,19558,18201,0
231,1,6,9,0,1,1,13475,17119,0
232,0,6,2,4,1,0,14536,17256,0
235,0,4,4,3,0,0,18274,18201,1
236,0,7,10,11,0,0,18117,18472,1
238,1,10,1,6,1,0,18513,18021,1
239,1,3,4,3,0,0,17409,17256,0
240,0,6,9,9,2,1,16961,20004,0
241,0,5,8,5,1,1,16961,18201,0
243,1,4,4,6,1,1,19558,18201,0
245,0,2,10,3,0,0,17409,17256,0
246,0,10,10,9,2,1,18274,18491,0
248,1,4,9,5,0,0,14536,17119,0
249,1,5,5,9,2,1,16961,18201,1
250,0,5,10,10,1,1,18117,19797,0
251,1,4,8,5,1,1,14536,17256,0
252,1,9,8,9,0,0,17409,17256,0
254,0,2,4,2,0,0,17409,17256,0
255,0,4,5,5,0,0,17409,17256,0
258,1,4,6,4,1,1,13475,19730,0
259,0,3,8,4,0,0,17409,17256,0
260,0,11,8,7,2,1,18274,18491,1
261,0,3,6,2,0,0,17409,17256,0
262,1,9,6,11,1,1,18513,18201,1
263,0,6,3,5,0,0,17409,17256,0
264,0,10,6,12,0,0,18117,18472,1
266,0,7,9,7,0,0,18117,18201,0
267,0,5,5,4,1,1,18513,18201,1
268,0,8,6,8,1,0,18117,18472,1
269,1,5,9,3,0,0,14536,17256,0
270,0,2,2,4,1,0,17409,17256,0
271,0,5,9,5,0,0,14536,17256,1
274,1,5,8,6,0,0,13475,19483,0
275,1,3,2,1,0,0,17409,17256,0
276,0,4,10,3,0,0,16961,20004,1
278,1,5,4,5,1,0,19558,18472,0
279,0,1,5,1,0,0,17409,17256,0
280,1,11,7,14,1,1,18274,18472,1
282,1,5,4,6,1,1,13519,18021,1
283,0,3,9,0,0,0,17409,17256,1
284,1,9,4,9,0,0,18274,18491,1
285,0,7,6,5,1,1,14536,18201,0
286,0,4,8,1,0,0,17409,17256,1
287,0,4,11,4,0,0,17409,17256,0
288,1,3,5,2,0,0,17409,17256,0
290,1,5,4,7,2,1,18274,18021,1
291,1,9,3,7,2,1,13519,18021,1
292,0,4,11,2,1,1,17409,19730,0
293,0,10,3,12,1,1,18513,18472,1
294,0,9,5,3,0,0,16961,18472,1
295,0,4,4,4,1,0,18513,18201,1
297,1,2,11,4,0,0,17409,17256,0
298,1,9,3,11,0,0,14536,17863,1
299,0,2,6,1,0,0,17409,17256,0
300,1,4,4,3,0,0,18513,18021,1
301,0,4,6,5,1,1,16961,18472,1
302,0,4,4,4,0,0,16961,20004,0
303,1,7,4,7,2,1,13519,18021,1
305,0,4,6,2,0,0,17409,17256,0
306,0,4,3,5,0,0,16544,18986,1
307,1,2,4,1,0,0,14536,17256,0
308,0,6,5,7,0,0,17381,17761,0
309,0,6,9,4,0,0,17409,17256,0
310,0,3,5,3,0,0,17409,17256,0
311,1,8,4,12,1,1,18274,18491,1
312,1,3,5,6,0,0,14536,17256,0
314,1,7,5,11,0,0,16961,18201,1
315,0,6,3,4,0,0,17409,17256,1
316,1,6,2,8,1,1,18274,18021,1
318,1,13,8,14,1,1,18274,18491,1
319,1,3,5,2,1,0,14536,17256,0
321,1,5,4,4,2,1,19558,18201,0
322,1,6,3,8,1,1,13519,18021,1
323,0,3,6,3,1,0,17409,17256,0
324,0,5,6,4,0,0,13475,20004,1
326,1,4,3,3,1,0,18274,18021,1
327,0,9,9,14,0,0,13475,17256,1
328,1,13,0,3,0,0,18274,18491,1
329,1,3,5,3,0,0,14536,17256,0
330,0,0,6,1,0,0,17409,17256,0
331,0,10,6,3,0,0,18274,18491,1
332,0,2,10,0,0,0,17409,17256,0
333,0,3,10,3,0,0,17409,17256,0
335,1,9,9,8,1,1,18513,18201,1
336,1,5,5,4,1,1,14536,17256,0
337,1,6,4,7,1,1,18513,18201,1
338,1,7,6,7,2,1,18274,18021,1
339,0,1,8,2,0,0,17409,17256,0
340,1,5,6,8,0,0,13475,18201,1
341,0,3,6,2,0,0,17409,17256,0
344,1,11,5,10,1,1,18274,18491,1
345,0,6,6,6,1,0,16544,17119,1
346,0,2,6,3,0,0,20619,17256,1
347,1,8,1,7,1,0,18274,18021,1
348,0,5,4,4,0,0,17409,17256,0
349,1,4,9,4,0,0,14536,17119,0
350,1,11,6,9,1,0,18513,18491,1
351,0,0,8,1,0,0,17409,17256,0
352,1,9,4,9,1,1,18513,18472,1
353,1,13,0,3,1,1,18513,18491,1
354,0,5,6,3,0,0,17409,17256,0
355,1,12,3,11,1,1,18274,18201,1
356,1,6,3,4,1,1,16961,17256,0
357,0,7,6,8,0,0,18117,18472,1
358,1,6,4,4,1,1,19558,19922,0
359,1,5,4,3,1,1,18117,17173,1
360,1,9,8,5,0,0,14536,17256,0
361,0,5,11,5,1,1,19558,18201,1
362,0,7,10,4,0,0,14536,20004,0
363,1,9,5,8,1,0,19558,18201,1
364,1,4,8,4,0,0,17409,17256,0
365,0,1,6,1,0,0,17409,17256,0
366,1,5,5,0,0,0,14536,17256,0
367,0,6,4,4,1,0,13475,17256,0
368,1,10,7,3,0,0,18117,18472,1
370,0,4,8,2,1,0,16961,18472,1
371,1,7,2,3,1,1,18117,18472,1
372,1,4,5,9,2,1,14536,19483,0
373,0,3,9,4,0,0,17409,17256,1
374,0,6,5,7,0,0,14536,17256,1
375,0,4,14,3,1,1,17381,17173,0
378,1,5,2,5,1,0,16544,18637,0
381,1,8,7,9,1,1,18274,18491,1
383,1,8,7,13,1,1,18117,18472,0
385,0,7,10,9,0,0,17409,19730,1
386,1,10,4,4,2,1,18513,18021,1
387,0,7,10,4,0,0,17409,17256,0
389,0,5,10,4,0,0,17409,17256,0
391,0,9,5,9,0,0,14536,19730,1
392,1,8,7,3,1,1,18274,18491,1
395,0,7,6,8,0,0,13475,18420,1
398,0,3,10,3,0,0,17381,17256,0
399,1,13,4,14,2,1,18274,18491,1
400,1,6,4,6,1,1,13519,18201,1
401,1,3,4,7,2,1,19558,18201,0
403,1,7,5,5,2,1,14536,17256,0
404,1,4,9,5,0,0,14536,17256,1
405,1,5,6,8,0,0,18513,18201,1
407,0,7,8,8,0,0,13475,20004,0
408,0,5,6,4,0,0,14536,17256,1
409,1,6,5,2,1,0,16961,18986,1
411,0,4,5,3,0,0,14536,17256,1
412,1,7,2,8,1,1,18274,18491,1
413,0,4,11,4,1,1,17381,20004,0
414,1,9,2,10,1,0,18513,18201,1
416,1,6,2,6,1,1,19558,18201,1
417,0,6,9,9,1,0,14536,17256,1
418,1,4,4,3,0,0,16961,18201,0
419,1,5,2,5,1,1,13519,18201,1
420,0,5,9,4,2,1,17409,17256,0
421,0,4,5,2,1,1,13475,18420,0
423,0,11,8,7,0,0,20619,18270,0
425,1,4,4,6,0,0,16544,18201,0
426,1,6,4,5,1,1,18513,18201,1
427,0,6,6,3,0,0,17409,17256,1
428,0,3,4,3,1,1,20619,17173,1
429,1,13,3,12,1,1,18274,18491,1
430,1,11,1,9,2,1,18274,18491,1
431,1,5,6,3,0,0,14536,17256,1
432,0,7,8,7,0,0,13475,17119,1
433,1,5,9,7,1,1,19558,18201,0
434,0,9,5,7,1,1,18117,18472,0
435,0,4,6,4,0,0,14536,17256,1
436,1,9,5,11,0,0,18513,18201,1
437,0,5,8,4,0,0,17409,17256,0
438,1,8,5,8,1,1,18274,18491,1
439,0,5,4,6,0,0,14536,17256,0
440,0,7,6,9,0,0,18513,18491,1
441,0,9,7,8,1,0,18274,18472,1
442,1,3,6,2,1,1,14536,17256,0
443,0,5,2,6,0,0,17409,17256,0
444,0,4,5,0,0,0,17409,17256,0
445,0,4,4,3,0,0,18117,18201,1
446,0,1,6,1,0,0,17409,17256,0
447,0,4,10,4,0,0,17409,17256,0
448,1,13,3,6,1,0,13519,18021,1
450,0,1,9,0,0,0,17409,17256,0
452,0,1,8,0,1,1,18117,18472,0
453,0,7,9,8,0,0,17381,19730,0
455,0,8,4,4,1,0,18117,18201,1
456,0,7,6,5,1,0,14536,18986,0
457,0,7,10,6,0,0,14536,18579,0
458,1,6,9,8,0,0,16544,19922,1
459,1,3,6,9,0,0,17409,17256,0
461,0,0,9,0,0,0,17409,17256,0
463,1,8,5,8,1,1,18274,18491,1
464,1,3,3,2,0,0,17409,17256,0
465,1,7,2,8,0,0,13475,17256,0
466,1,5,6,4,1,0,16544,17119,0
468,1,4,8,3,0,0,14536,17256,0
469,0,5,6,8,0,0,17381,19730,0
470,0,0,8,0,0,0,17409,17256,0
471,1,8,0,12,0,0,18274,18491,1
472,1,10,5,7,0,0,14536,17119,0
473,1,7,7,10,1,1,18274,18491,1
474,0,7,6,6,0,0,14536,20004,1
475,0,6,4,4,1,1,18513,18472,1
477,0,7,2,8,1,1,18117,18472,1
478,1,5,5,4,0,0,14536,17256,0
479,0,5,4,3,0,0,20619,17256,0
480,1,11,4,9,0,0,19558,18201,1
481,0,3,5,3,0,0,17409,17256,0
482,1,7,5,7,1,1,19558,18201,0
483,0,3,10,5,0,0,17409,17256,0
484,0,4,6,2,0,0,17409,17256,0
485,0,4,11,5,1,0,16544,18986,1
486,0,5,8,5,1,1,16961,18201,1
488,1,4,3,6,0,0,14536,17863,1
490,1,9,3,6,1,0,19558,18201,0
492,1,4,5,3,0,0,14536,17256,0
493,0,7,11,4,0,0,17409,17256,0
494,0,5,6,7,0,0,18274,18021,1
496,0,2,6,2,1,1,17409,17256,0
497,1,7,4,8,0,0,16961,18201,1
498,0,9,6,7,1,1,18274,18491,1
500,0,7,11,7,0,0,18117,18201,0
501,0,9,8,8,1,0,18117,20004,0
502,0,5,2,6,1,0,18513,18201,1
503,0,6,8,4,1,1,16961,20004,1
504,0,6,4,6,1,1,14536,17761,1
505,1,8,6,0,0,0,13475,17173,1
506,1,5,8,6,1,1,19558,18201,1
507,0,1,10,0,0,0,17409,17256,0
510,1,6,6,5,0,0,17409,17256,0
511,1,6,3,9,1,0,13519,18021,1
512,0,4,5,5,2,1,16544,18986,1
513,0,6,4,8,1,1,18274,18472,1
514,0,2,5,1,0,0,17409,17256,0
515,0,7,5,9,2,1,18513,18472,1
516,0,10,6,9,0,0,19558,18201,1
517,0,7,6,8,1,0,16961,20004,0
518,1,4,8,3,0,0,17409,17256,0
520,0,7,10,8,1,1,18117,18472,0
522,0,1,5,2,0,0,17409,17256,0
523,0,0,5,1,0,0,13475,18472,1
524,1,5,10,6,0,0,14536,17119,0
525,0,3,6,3,0,0,17409,17256,0
527,0,6,3,8,0,0,20038,20004,0
529,1,4,2,6,0,0,16961,19483,1
530,0,4,6,2,1,1,20619,17256,0
531,1,12,5,7,1,1,18513,18201,1
533,0,5,8,5,0,0,16961,18201,1
534,0,7,6,5,1,1,18117,18472,0
535,1,7,9,11,1,1,18274,18201,0
536,1,9,3,11,1,1,18274,18201,1
537,0,6,9,6,1,1,18117,18472,1
538,1,8,2,7,2,1,18274,18491,1
539,0,6,5,7,0,0,14536,17256,0
540,1,13,2,11,2,1,18274,18491,1
542,0,7,8,4,0,0,17409,17256,0
543,1,5,5,9,1,0,14536,18986,0
545,0,2,10,1,0,0,17409,17256,0
546,0,7,5,6,0,0,14536,17119,1
547,1,4,4,3,1,1,18274,18201,1
548,0,5,6,6,1,1,17381,20004,0
549,1,2,4,3,0,0,17409,17256,0
550,1,9,2,8,1,1,18274,18472,1
552,0,5,8,5,0,0,14536,20004,0
553,1,7,4,8,1,0,18274,18021,0
554,0,7,8,7,1,1,18117,18472,0
556,0,11,5,12,1,1,18274,18472,1
557,0,6,5,3,1,1,18117,18472,1
559,0,3,2,3,0,0,20619,17256,0
560,0,2,3,2,1,1,17409,17256,0
562,0,0,8,0,1,0,17409,19730,0
563,1,8,7,9,0,0,16961,18612,1
564,0,5,8,5,1,0,17409,17256,0
566,1,8,5,8,0,0,17409,17256,0
567,1,3,3,1,1,1,17409,17256,0
568,0,5,9,5,0,0,17409,17256,0
569,1,4,3,6,2,1,13519,18021,1
570,1,9,5,9,0,0,18513,18201,1
571,0,7,4,5,1,0,16961,18201,0
573,1,3,3,3,1,1,19558,18201,1
575,1,9,8,9,0,0,19558,18201,1
576,0,3,6,5,0,0,17409,17256,0
577,0,5,5,0,0,0,17409,17256,0
579,1,4,8,0,1,1,14536,18637,1
581,0,8,9,7,0,0,19558,18201,1
582,1,6,8,6,1,0,16544,17119,0
583,0,5,4,7,1,1,18274,18491,1
584,0,4,6,2,0,0,14536,18579,0
585,0,7,6,6,1,1,18513,18201,1
586,0,1,10,1,0,0,17409,17256,0
588,0,5,5,2,0,0,17409,17256,0
589,0,6,3,8,0,0,17409,17256,0
590,1,7,4,5,1,0,19558,18201,1
591,0,5,4,6,1,1,18274,18472,1
592,1,6,4,8,1,0,18513,18201,1
593,0,3,6,5,0,0,14536,19730,0
594,1,3,4,3,0,0,17409,17256,0
595,1,11,7,11,1,1,18274,18491,1
596,0,11,7,12,1,1,18274,18491,1
599,0,4,3,5,1,1,13475,17256,0
600,0,0,9,0,1,1,20619,17256,0
601,0,3,8,5,0,0,17409,17256,0
602,1,11,6,7,2,1,18513,18491,1
603,0,5,10,3,1,0,20619,17256,0
604,0,8,9,7,0,0,18117,18491,0
605,0,11,4,9,2,1,18274,18491,1
606,0,0,6,1,0,0,17409,17256,0
607,0,10,5,12,2,1,18274,18491,1
608,1,3,2,5,0,0,14536,17256,1
609,1,7,6,6,0,0,14536,17256,0
610,1,10,6,10,0,0,18513,18201,1
611,1,10,11,13,1,0,18274,18491,1
612,1,8,0,0,0,0,18513,18472,1
613,1,2,4,3,0,0,17409,17256,0
614,1,8,1,6,1,1,18274,18021,1
615,1,7,5,5,0,0,14536,17256,0
616,1,9,6,11,2,1,18513,18021,1
617,1,7,8,8,2,1,18513,18021,1
618,1,7,8,6,0,0,20619,17256,0
619,0,4,6,6,0,0,17409,17256,0
621,0,4,11,3,0,0,13475,16650,1
622,0,6,6,3,2,1,18117,18472,1
623,1,5,2,5,2,1,13519,18021,1
624,1,11,5,11,2,1,13519,18201,1
625,1,6,5,7,1,0,13475,19483,0
626,0,8,5,11,1,1,18513,18472,1
629,1,4,5,6,0,0,14536,17119,0
630,0,3,11,3,0,0,17381,19730,1
631,0,5,5,2,0,0,17409,17256,0
632,0,4,8,3,0,0,17409,17256,0
633,0,3,4,3,1,1,18117,17761,0
636,1,6,7,8,1,1,18274,18201,1
637,1,6,7,4,1,0,16544,17119,0
638,1,3,4,2,1,1,19558,18201,0
639,0,6,2,6,1,1,20619,17256,0
640,1,4,9,5,0,0,17409,17256,0
641,0,1,3,0,0,0,20619,19730,1
642,0,6,11,6,0,0,14536,17256,1
644,1,4,2,3,1,1,18274,18201,1
645,0,6,6,6,1,0,14536,17119,1
646,0,7,5,6,0,0,19407,18201,1
647,1,13,7,12,1,1,18274,18491,1
648,0,7,10,8,0,0,17381,18201,0
649,0,6,10,3,1,1,18117,19797,0
650,0,9,12,11,0,0,14536,17256,0
652,0,7,5,6,0,0,14536,19922,0
653,0,6,3,6,0,0,17409,17256,0
654,1,6,5,5,0,0,14536,17256,1
656,1,4,2,6,1,1,19558,18201,0
657,0,7,4,6,0,0,16961,18201,0
658,0,9,10,10,0,0,18117,20004,0
659,0,4,6,3,0,0,13475,18201,1
661,0,4,4,6,0,0,14536,17245,0
662,0,1,5,0,0,0,17409,17256,0
663,1,11,6,7,1,1,18274,18021,1
664,1,4,4,3,2,1,18513,18201,1
666,0,11,6,8,1,1,18117,18472,0
667,1,5,5,5,1,0,14536,19483,1
668,1,5,4,5,0,0,14536,17256,0
669,0,2,10,2,0,0,17409,17256,0
670,0,4,5,6,0,0,17409,17256,0
672,0,0,5,0,0,0,17381,17761,1
673,1,6,4,6,1,0,18513,18201,1
674,0,4,4,2,1,0,16961,18270,0
675,0,7,8,0,0,0,17381,19730,1
676,1,8,7,13,1,1,18274,18491,0
677,0,3,8,2,0,0,17409,17256,0
678,1,8,7,5,1,1,18513,18201,0
679,0,5,4,8,1,1,18274,18472,1
680,1,5,5,6,1,1,14536,17256,0
681,0,4,4,2,1,1,18117,18472,1
682,1,9,6,10,0,0,16961,18201,1
684,1,10,4,5,1,1,16544,18986,0
685,1,10,4,8,1,1,18274,18491,1
686,1,13,0,17,0,0,18513,18491,1
687,0,6,9,7,1,1,18274,18491,1
688,1,7,9,5,2,1,18513,18021,1
689,0,0,6,0,0,0,16961,20004,1
690,1,6,2,6,1,1,13519,18021,1
691,1,5,3,4,0,0,17409,17256,0
694,1,7,9,9,1,0,16544,17119,0
695,1,5,12,4,0,0,14536,17245,0
696,1,3,6,4,1,1,18274,18472,1
697,0,4,9,4,1,0,16961,18201,1
698,1,5,4,6,0,0,14536,17256,0
699,1,6,4,5,0,0,17409,17256,0
700,0,4,5,3,0,0,13475,18420,1
701,0,3,8,3,0,0,17409,17256,0
702,1,2,2,4,1,1,14536,17256,0
703,1,5,9,9,0,0,14536,17256,0
705,1,5,4,5,1,0,14536,17256,1
706,0,10,8,13,0,0,18117,20004,1
707,0,3,5,5,0,0,17409,17256,0
708,1,8,3,12,0,0,18513,18021,1
709,1,5,4,6,1,1,13519,18201,1
710,1,8,7,13,1,1,16146,18491,0
711,1,6,3,9,0,0,14536,17256,1
712,1,3,12,2,0,0,17409,17256,0
714,1,9,6,7,0,0,13475,19922,0
715,1,6,5,6,1,0,14536,17256,1
716,1,7,3,6,0,0,14536,17119,0
717,1,7,4,10,0,0,13519,18021,1
718,0,6,4,5,1,0,17409,17256,0
719,1,6,6,6,2,1,18274,18021,1
720,0,6,5,4,0,0,14536,17256,1
721,0,6,6,2,0,0,17409,17256,0
723,0,7,4,8,1,0,18274,18491,0
724,0,5,6,3,1,1,17381,17173,0
725,1,9,7,7,0,0,14536,17256,0
726,1,5,3,1,0,0,17409,17256,0
727,0,3,10,2,0,0,17409,17256,0
729,0,5,10,4,0,0,17409,17256,0
730,1,7,5,10,0,0,19558,18201,0
731,0,9,10,10,1,1,18117,18472,1
732,1,6,4,6,2,1,18513,18021,0
733,0,6,5,5,0,0,14536,17256,0
734,1,7,2,9,1,0,18274,18491,0
736,1,12,1,4,0,0,14536,17256,1
737,1,5,8,8,1,1,18117,18201,1
738,0,1,2,1,1,1,18117,20004,0
739,1,3,9,3,0,0,17409,17256,0
740,1,6,6,6,0,0,17409,17256,0
741,1,13,5,13,2,1,18513,18491,1
742,1,7,4,8,1,1,18274,18021,1
743,1,6,5,5,0,0,14536,17256,1
744,1,4,11,3,0,0,14536,17256,0
745,1,6,5,5,0,0,14536,17256,1
746,1,7,2,8,0,0,16961,19922,0
748,1,6,4,9,2,1,19558,18201,0
749,1,5,5,2,1,1,14536,17256,0
750,0,4,4,6,0,0,17409,17256,0
751,0,4,13,3,0,0,17409,17256,0
752,0,5,8,6,0,0,20619,16650,0
753,0,6,2,3,1,1,18117,18472,1
754,1,3,2,4,0,0,14536,17256,0
755,0,5,6,3,0,0,17409,17256,0
756,0,6,4,6,1,1,14536,17256,0
757,1,11,3,9,0,0,13519,18021,1
758,1,4,2,3,1,1,16961,18201,0
759,0,6,11,6,1,1,13475,17256,1
761,1,11,1,14,1,1,13519,18021,1
762,1,8,2,10,1,1,18274,18021,1
763,1,5,8,7,0,0,16544,19483,1
764,0,2,5,2,0,0,17409,17256,0
765,1,5,9,8,0,0,16544,17119,1
766,0,9,6,4,0,0,17409,17256,0
767,0,5,8,5,1,1,13475,18141,1
768,1,5,5,6,1,1,13519,18021,0
769,1,5,6,7,0,0,13475,17119,0
770,0,3,6,5,0,0,17409,17256,0
773,0,7,2,5,1,1,19558,18472,1
774,1,4,9,2,0,0,14536,17256,0
775,0,8,10,8,0,0,17381,19922,0
777,1,7,10,9,1,0,19558,18201,1
778,0,3,8,2,0,0,17409,17256,0
